"Date, NumSims, NumFimsMsgs, Sim #, Winning Map, Winning Time, GoMap Time, Win-GoMap Diff, HashMap Time, Win-HashMap Diff, SyncMap Time, Win-SyncMap Diff"
2023-01-20 22:05:44.833943686 +0000 UTC m=+585.856321665,10000,3000,0,hashMap,391.587ms,1.316746159s,3.36,391.587ms,1.00,1.126865559s,2.88
2023-01-20 22:05:47.807360094 +0000 UTC m=+588.829738082,10000,3000,1,hashMap,466.714811ms,1.278822171s,2.74,466.714811ms,1.00,1.226825635s,2.63
2023-01-20 22:05:50.413736537 +0000 UTC m=+591.436114522,10000,3000,2,hashMap,178.244625ms,1.195953793s,6.71,178.244625ms,1.00,1.231166772s,6.91
2023-01-20 22:05:53.482801283 +0000 UTC m=+594.505179271,10000,3000,3,hashMap,734.399156ms,1.102579262s,1.50,734.399156ms,1.00,1.231041243s,1.68
2023-01-20 22:05:55.950266199 +0000 UTC m=+596.972644180,10000,3000,4,syncMap,150.769202ms,1.335575943s,8.86,980.216965ms,6.50,150.769202ms,1.00
2023-01-20 22:06:03.355028464 +0000 UTC m=+601.305935337,10000,3000,5,hashMap,1.299139961s,1.328424669s,1.02,1.299139961s,1.00,1.704818153s,1.31
2023-01-20 22:06:05.633157196 +0000 UTC m=+603.584064069,10000,3000,6,syncMap,165.714194ms,944.643173ms,5.70,1.166964746s,7.04,165.714194ms,1.00
2023-01-20 22:06:09.353534914 +0000 UTC m=+607.304441788,10000,3000,7,hashMap,783.754396ms,1.44470097s,1.84,783.754396ms,1.00,1.490842766s,1.90
2023-01-20 22:06:12.39627464 +0000 UTC m=+610.347181512,10000,3000,8,goMap,688.983338ms,688.983338ms,1.00,864.391554ms,1.25,1.488434958s,2.16
2023-01-20 22:06:15.174962427 +0000 UTC m=+613.125869301,10000,3000,9,hashMap,305.008711ms,1.287901175s,4.22,305.008711ms,1.00,1.184836097s,3.88
2023-01-20 22:06:18.268778801 +0000 UTC m=+616.219685673,10000,3000,10,hashMap,760.564452ms,1.166369665s,1.53,760.564452ms,1.00,1.166112656s,1.53
2023-01-20 22:06:20.447274586 +0000 UTC m=+618.398181460,10000,3000,11,syncMap,185.13177ms,1.129770424s,6.10,862.764555ms,4.66,185.13177ms,1.00
2023-01-20 22:06:24.348509196 +0000 UTC m=+622.299416069,10000,3000,12,hashMap,1.230486565s,1.399658428s,1.14,1.230486565s,1.00,1.26974558s,1.03
2023-01-20 22:06:27.180677037 +0000 UTC m=+625.131583910,10000,3000,13,syncMap,608.34199ms,1.091029954s,1.79,1.131881281s,1.86,608.34199ms,1.00
2023-01-20 22:06:30.176603106 +0000 UTC m=+628.127509985,10000,3000,14,hashMap,514.941138ms,1.249016887s,2.43,514.941138ms,1.00,1.231041784s,2.39
2023-01-20 22:06:34.00236078 +0000 UTC m=+631.954319296,10000,3000,15,goMap,1.058747774s,1.058747774s,1.00,1.276253639s,1.21,1.490961559s,1.41
2023-01-20 22:06:35.788655191 +0000 UTC m=+633.740613693,10000,3000,16,goMap,186.05225ms,186.05225ms,1.00,416.41565ms,2.24,1.182990277s,6.36
2023-01-20 22:06:37.797430916 +0000 UTC m=+635.749389418,10000,3000,17,syncMap,164.898594ms,1.149925076s,6.97,693.083296ms,4.20,164.898594ms,1.00
2023-01-20 22:06:41.400028327 +0000 UTC m=+639.351986829,10000,3000,18,hashMap,1.12455254s,1.193404263s,1.06,1.12455254s,1.00,1.283819445s,1.14
2023-01-20 22:06:45.691614457 +0000 UTC m=+643.643572960,10000,3000,19,goMap,1.298131281s,1.298131281s,1.00,1.330404028s,1.02,1.662102728s,1.28
2023-01-20 22:06:47.670269985 +0000 UTC m=+645.622228490,10000,3000,20,goMap,176.839354ms,176.839354ms,1.00,533.855191ms,3.02,1.267094924s,7.17
2023-01-20 22:06:51.990453189 +0000 UTC m=+649.942411692,10000,3000,21,hashMap,1.162502957s,1.495234064s,1.29,1.162502957s,1.00,1.661598631s,1.43
2023-01-20 22:06:54.185787606 +0000 UTC m=+652.137746110,10000,3000,22,goMap,209.259925ms,209.259925ms,1.00,583.970138ms,2.79,1.400106263s,6.69
2023-01-20 22:06:56.801283208 +0000 UTC m=+654.753241730,10000,3000,23,syncMap,275.642328ms,1.043212242s,3.78,1.295089683s,4.70,275.642328ms,1.00
2023-01-20 22:07:00.319886104 +0000 UTC m=+658.271844606,10000,3000,24,hashMap,711.300206ms,1.474280752s,2.07,711.300206ms,1.00,1.332123956s,1.87
2023-01-20 22:07:03.607504889 +0000 UTC m=+661.560094642,10000,3000,25,syncMap,351.356898ms,1.376767231s,3.92,1.558560751s,4.44,351.356898ms,1.00
2023-01-20 22:07:07.840859661 +0000 UTC m=+665.793449408,10000,3000,26,hashMap,613.064279ms,1.839918678s,3.00,613.064279ms,1.00,1.779262914s,2.90
2023-01-20 22:07:11.144944843 +0000 UTC m=+669.097534584,10000,3000,27,syncMap,241.626572ms,1.609392852s,6.66,1.452227395s,6.01,241.626572ms,1.00
2023-01-20 22:07:14.714766559 +0000 UTC m=+672.667356311,10000,3000,28,hashMap,601.887805ms,1.651447285s,2.74,601.887805ms,1.00,1.315339433s,2.19
2023-01-20 22:07:17.489163738 +0000 UTC m=+675.441753479,10000,3000,29,goMap,547.463754ms,547.463754ms,1.00,771.216342ms,1.41,1.454586861s,2.66
2023-01-20 22:07:20.004034022 +0000 UTC m=+677.956623770,10000,3000,30,syncMap,177.883466ms,954.226819ms,5.36,1.38182931s,7.77,177.883466ms,1.00
2023-01-20 22:07:24.278400855 +0000 UTC m=+682.230990595,10000,3000,31,goMap,1.326941352s,1.326941352s,1.00,1.384911338s,1.04,1.561645685s,1.18
2023-01-20 22:07:26.808140843 +0000 UTC m=+684.760730583,10000,3000,32,goMap,185.171743ms,185.171743ms,1.00,864.980359ms,4.67,1.478326286s,7.98
2023-01-20 22:07:30.622370385 +0000 UTC m=+688.574960125,10000,3000,33,hashMap,1.088497871s,1.329360493s,1.22,1.088497871s,1.00,1.394561729s,1.28
2023-01-20 22:07:32.734393614 +0000 UTC m=+690.686983354,10000,3000,34,goMap,166.378462ms,166.378462ms,1.00,1.068523232s,6.42,876.170847ms,5.27
2023-01-20 22:07:36.940337828 +0000 UTC m=+694.893639712,10000,3000,35,hashMap,1.183290913s,1.497658303s,1.27,1.183290913s,1.00,1.524871181s,1.29
2023-01-20 22:07:38.883601747 +0000 UTC m=+696.836903636,10000,3000,36,goMap,166.899789ms,166.899789ms,1.00,1.455886556s,8.72,319.650199ms,1.92
2023-01-20 22:07:42.712833943 +0000 UTC m=+700.666135828,10000,3000,37,hashMap,634.399959ms,1.564979564s,2.47,634.399959ms,1.00,1.629044049s,2.57
2023-01-20 22:07:47.414084631 +0000 UTC m=+705.367386534,10000,3000,38,goMap,560.55342ms,560.55342ms,1.00,1.580710799s,2.82,2.557390283s,4.56
2023-01-20 22:07:51.745653422 +0000 UTC m=+709.698955338,10000,3000,39,syncMap,338.139004ms,2.134409508s,6.31,1.852530396s,5.48,338.139004ms,1.00
2023-01-20 22:07:57.141545774 +0000 UTC m=+715.094847662,10000,3000,40,hashMap,1.281418058s,2.8294788s,2.21,1.281418058s,1.00,1.281487881s,1.00
2023-01-20 22:08:01.893290071 +0000 UTC m=+719.846591956,10000,3000,41,hashMap,1.04660671s,1.797096539s,1.72,1.04660671s,1.00,1.906134811s,1.82
2023-01-20 22:08:05.219782559 +0000 UTC m=+723.168186442,10000,3000,42,goMap,266.56316ms,266.56316ms,1.00,1.23742958s,4.64,1.816419817s,6.81
2023-01-20 22:08:08.770458364 +0000 UTC m=+726.718862245,10000,3000,43,syncMap,185.44406ms,1.657214403s,8.94,1.707025622s,9.21,185.44406ms,1.00
2023-01-20 22:08:11.909656905 +0000 UTC m=+729.858060790,10000,3000,44,hashMap,633.339662ms,1.739225108s,2.75,633.339662ms,1.00,765.336358ms,1.21
2023-01-20 22:08:14.691081797 +0000 UTC m=+732.639485683,10000,3000,45,goMap,359.797878ms,359.797878ms,1.00,1.160758978s,3.23,1.259873485s,3.50
2023-01-20 22:08:16.705798198 +0000 UTC m=+734.654202073,10000,3000,46,syncMap,205.168311ms,209.407475ms,1.02,1.599084452s,7.79,205.168311ms,1.00
2023-01-20 22:08:19.474947857 +0000 UTC m=+737.423351730,10000,3000,47,syncMap,169.763039ms,1.264393579s,7.45,1.333829937s,7.86,169.763039ms,1.00
2023-01-20 22:08:22.123720216 +0000 UTC m=+740.072124100,10000,3000,48,syncMap,241.671569ms,942.696319ms,3.90,1.463463965s,6.06,241.671569ms,1.00
2023-01-20 22:08:25.496909631 +0000 UTC m=+743.445313505,10000,3000,49,hashMap,578.127995ms,1.588961642s,2.75,578.127995ms,1.00,1.205191876s,2.08
2023-01-20 22:08:28.919571234 +0000 UTC m=+746.867975110,10000,3000,50,syncMap,820.964429ms,1.340961569s,1.63,1.259725642s,1.53,820.964429ms,1.00
2023-01-20 22:08:32.197927151 +0000 UTC m=+750.146331024,10000,3000,51,hashMap,582.473222ms,1.392771662s,2.39,582.473222ms,1.00,1.3022511s,2.24
2023-01-20 22:08:36.085406468 +0000 UTC m=+754.033171065,10000,3000,52,hashMap,1.09217282s,1.228097108s,1.12,1.09217282s,1.00,1.565770582s,1.43
2023-01-20 22:08:38.047593649 +0000 UTC m=+755.995358256,10000,3000,53,goMap,187.760953ms,187.760953ms,1.00,537.721797ms,2.86,1.235822538s,6.58
2023-01-20 22:08:40.755942638 +0000 UTC m=+758.703707237,10000,3000,54,syncMap,480.83662ms,1.030894306s,2.14,1.19566745s,2.49,480.83662ms,1.00
2023-01-20 22:08:44.206092037 +0000 UTC m=+762.153856635,10000,3000,55,hashMap,783.569273ms,1.342915756s,1.71,783.569273ms,1.00,1.322754507s,1.69
2023-01-20 22:08:47.700156461 +0000 UTC m=+765.647921059,10000,3000,56,hashMap,988.831004ms,1.0621338s,1.07,988.831004ms,1.00,1.442225618s,1.46
2023-01-20 22:08:50.008151602 +0000 UTC m=+767.955916213,10000,3000,57,syncMap,222.401169ms,1.228664582s,5.52,855.926886ms,3.85,222.401169ms,1.00
2023-01-20 22:08:53.8760682 +0000 UTC m=+771.823832801,10000,3000,58,goMap,1.212623562s,1.212623562s,1.00,1.21353825s,1.00,1.440889701s,1.19
2023-01-20 22:08:56.251292727 +0000 UTC m=+774.199057325,10000,3000,59,syncMap,188.800827ms,951.757709ms,5.04,1.233851474s,6.54,188.800827ms,1.00
2023-01-20 22:09:00.121560634 +0000 UTC m=+778.069325232,10000,3000,60,hashMap,1.192892648s,1.232426873s,1.03,1.192892648s,1.00,1.444012533s,1.21
2023-01-20 22:09:02.129682047 +0000 UTC m=+780.077446645,10000,3000,61,goMap,183.805486ms,183.805486ms,1.00,515.352718ms,2.80,1.308042048s,7.12
2023-01-20 22:09:05.472767922 +0000 UTC m=+783.424499504,10000,3000,62,goMap,984.049501ms,984.049501ms,1.00,1.197850071s,1.22,1.164331948s,1.18
2023-01-20 22:09:08.25131781 +0000 UTC m=+786.203049392,10000,3000,63,hashMap,201.489205ms,1.239366509s,6.15,201.489205ms,1.00,1.33648655s,6.63
2023-01-20 22:09:11.353515898 +0000 UTC m=+789.305247490,10000,3000,64,hashMap,559.609793ms,1.375152032s,2.46,559.609793ms,1.00,1.166594565s,2.08
2023-01-20 22:09:13.9949312 +0000 UTC m=+791.946662781,10000,3000,65,syncMap,315.074144ms,1.244461859s,3.95,1.080872757s,3.43,315.074144ms,1.00
2023-01-20 22:09:17.920373098 +0000 UTC m=+795.872104681,10000,3000,66,hashMap,1.140750184s,1.332767912s,1.17,1.140750184s,1.00,1.451113226s,1.27
2023-01-20 22:09:20.479438413 +0000 UTC m=+798.431169995,10000,3000,67,syncMap,211.063535ms,1.208092666s,5.72,1.139056595s,5.40,211.063535ms,1.00
2023-01-20 22:09:23.957531918 +0000 UTC m=+801.909263500,10000,3000,68,hashMap,688.422125ms,1.545207079s,2.24,688.422125ms,1.00,1.243502001s,1.81
2023-01-20 22:09:26.413880964 +0000 UTC m=+804.365612544,10000,3000,69,hashMap,365.361374ms,750.751957ms,2.05,365.361374ms,1.00,1.339081179s,3.67
2023-01-20 22:09:30.637118986 +0000 UTC m=+808.588850568,10000,3000,70,goMap,1.201993486s,1.201993486s,1.00,1.259573359s,1.05,1.760871881s,1.46
2023-01-20 22:09:32.849904962 +0000 UTC m=+810.801636548,10000,3000,71,goMap,207.463337ms,207.463337ms,1.00,1.25270786s,6.04,751.617253ms,3.62
2023-01-20 22:09:37.052361654 +0000 UTC m=+815.004330986,10000,3000,72,hashMap,880.405326ms,1.724356796s,1.96,880.405326ms,1.00,1.596861314s,1.81
2023-01-20 22:09:40.056978682 +0000 UTC m=+818.008948014,10000,3000,73,syncMap,221.808429ms,1.508559399s,6.80,1.273005827s,5.74,221.808429ms,1.00
2023-01-20 22:09:42.861785021 +0000 UTC m=+820.813754361,10000,3000,74,syncMap,220.273026ms,1.334939004s,6.06,1.248544836s,5.67,220.273026ms,1.00
2023-01-20 22:09:47.55673146 +0000 UTC m=+825.508700792,10000,3000,75,hashMap,1.474058937s,1.558448474s,1.06,1.474058937s,1.00,1.661240278s,1.13
2023-01-20 22:09:50.468408603 +0000 UTC m=+828.420377934,10000,3000,76,hashMap,294.566138ms,1.089218799s,3.70,294.566138ms,1.00,1.526748217s,5.18
2023-01-20 22:09:55.404483096 +0000 UTC m=+833.356452430,10000,3000,77,goMap,1.374830914s,1.374830914s,1.00,1.451608638s,1.06,2.108666211s,1.53
2023-01-20 22:09:57.590556407 +0000 UTC m=+835.542525737,10000,3000,78,goMap,239.172759ms,239.172759ms,1.00,851.778637ms,3.56,1.094112333s,4.57
2023-01-20 22:10:01.010420694 +0000 UTC m=+838.962390026,10000,3000,79,syncMap,429.206596ms,1.608085571s,3.75,1.381617232s,3.22,429.206596ms,1.00
2023-01-20 22:10:05.462455933 +0000 UTC m=+843.414382558,10000,3000,80,goMap,1.373105117s,1.373105117s,1.00,1.466437744s,1.07,1.611351786s,1.17
2023-01-20 22:10:10.682319837 +0000 UTC m=+848.634246462,10000,3000,81,goMap,1.503480535s,1.503480535s,1.00,1.510757663s,1.00,2.204646908s,1.47
2023-01-20 22:10:13.583415557 +0000 UTC m=+851.535342184,10000,3000,82,goMap,267.341875ms,267.341875ms,1.00,875.31037ms,3.27,1.757191934s,6.57
2023-01-20 22:10:17.5944025 +0000 UTC m=+855.546329136,10000,3000,83,hashMap,1.200596041s,1.457124799s,1.21,1.200596041s,1.00,1.352169938s,1.13
2023-01-20 22:10:20.595801631 +0000 UTC m=+858.547728260,10000,3000,84,goMap,340.256773ms,340.256773ms,1.00,1.239171536s,3.64,1.419974307s,4.17
2023-01-20 22:10:23.545880126 +0000 UTC m=+861.497806751,10000,3000,85,syncMap,262.941518ms,1.470506488s,5.59,1.215534307s,4.62,262.941518ms,1.00
2023-01-20 22:10:28.060555563 +0000 UTC m=+866.012482190,10000,3000,86,hashMap,1.402236206s,1.4586209s,1.04,1.402236206s,1.00,1.652801756s,1.18
2023-01-20 22:10:30.800506955 +0000 UTC m=+868.752433581,10000,3000,87,syncMap,250.04203ms,1.406386682s,5.62,1.082522769s,4.33,250.04203ms,1.00
2023-01-20 22:10:35.40894267 +0000 UTC m=+873.361006088,10000,3000,88,hashMap,1.481227504s,1.522475457s,1.03,1.481227504s,1.00,1.603876907s,1.08
2023-01-20 22:10:40.223702763 +0000 UTC m=+878.175766183,10000,3000,89,hashMap,1.42535264s,1.42728552s,1.00,1.42535264s,1.00,1.961167627s,1.38
2023-01-20 22:10:42.36449238 +0000 UTC m=+880.316555801,10000,3000,90,goMap,234.04761ms,234.04761ms,1.00,620.966746ms,2.65,1.284549742s,5.49
2023-01-20 22:10:45.504272407 +0000 UTC m=+883.456335826,10000,3000,91,hashMap,232.72545ms,1.635915883s,7.03,232.72545ms,1.00,1.269502103s,5.45
2023-01-20 22:10:48.19770767 +0000 UTC m=+886.149771099,10000,3000,92,syncMap,678.291031ms,1.29467057s,1.91,719.317291ms,1.06,678.291031ms,1.00
2023-01-20 22:10:51.263936285 +0000 UTC m=+889.215999705,10000,3000,93,hashMap,760.8006ms,874.539123ms,1.15,760.8006ms,1.00,1.429701031s,1.88
2023-01-20 22:10:55.820086151 +0000 UTC m=+893.772149576,10000,3000,94,hashMap,1.304257753s,1.452332642s,1.11,1.304257753s,1.00,1.798419182s,1.38
2023-01-20 22:10:58.816344368 +0000 UTC m=+896.768407799,10000,3000,95,hashMap,189.414314ms,1.345943525s,7.11,189.414314ms,1.00,1.459852198s,7.71
2023-01-20 22:11:02.456214755 +0000 UTC m=+900.408278174,10000,3000,96,hashMap,892.69186ms,1.227869256s,1.38,892.69186ms,1.00,1.518313662s,1.70
2023-01-20 22:11:05.624768479 +0000 UTC m=+903.576781193,10000,3000,97,hashMap,196.603015ms,1.500648685s,7.63,196.603015ms,1.00,1.470215608s,7.48
2023-01-20 22:11:09.502455555 +0000 UTC m=+907.454468268,10000,3000,98,hashMap,975.978509ms,1.436577204s,1.47,975.978509ms,1.00,1.464157291s,1.50
2023-01-20 22:11:12.219487583 +0000 UTC m=+910.171500295,10000,3000,99,syncMap,194.858887ms,1.095445388s,5.62,1.425755537s,7.32,194.858887ms,1.00
2023-01-20 22:11:15.931699107 +0000 UTC m=+913.883711836,10000,3000,100,hashMap,630.241334ms,1.679625181s,2.67,630.241334ms,1.00,1.397302415s,2.22
2023-01-20 22:11:18.915352525 +0000 UTC m=+916.867365237,10000,3000,101,syncMap,305.622327ms,1.452695907s,4.75,1.224309163s,4.01,305.622327ms,1.00
2023-01-20 22:11:23.615886052 +0000 UTC m=+921.567898767,10000,3000,102,hashMap,1.462754303s,1.476193226s,1.01,1.462754303s,1.00,1.760661161s,1.20
2023-01-20 22:11:26.391629368 +0000 UTC m=+924.343642079,10000,3000,103,syncMap,212.195357ms,1.083422755s,5.11,1.47913293s,6.97,212.195357ms,1.00
2023-01-20 22:11:29.191618393 +0000 UTC m=+927.143631104,10000,3000,104,syncMap,199.778411ms,1.103432098s,5.52,1.495722302s,7.49,199.778411ms,1.00
2023-01-20 22:11:33.939131919 +0000 UTC m=+931.892084181,10000,3000,105,goMap,1.418329016s,1.418329016s,1.00,1.445183977s,1.02,1.883965462s,1.33
2023-01-20 22:11:36.266975489 +0000 UTC m=+934.219927750,10000,3000,106,syncMap,231.42084ms,244.652377ms,1.06,1.850133173s,7.99,231.42084ms,1.00
2023-01-20 22:11:40.383500267 +0000 UTC m=+938.336452528,10000,3000,107,hashMap,848.873529ms,1.837147506s,2.16,848.873529ms,1.00,1.429248377s,1.68
2023-01-20 22:11:43.616213898 +0000 UTC m=+941.569166161,10000,3000,108,goMap,226.691546ms,226.691546ms,1.00,1.431464198s,6.31,1.573397529s,6.94
2023-01-20 22:11:46.76121479 +0000 UTC m=+944.714167053,10000,3000,109,syncMap,470.583413ms,1.247477763s,2.65,1.42589767s,3.03,470.583413ms,1.00
2023-01-20 22:11:50.951985674 +0000 UTC m=+948.904937936,10000,3000,110,hashMap,1.140893307s,1.493324402s,1.31,1.140893307s,1.00,1.555309023s,1.36
2023-01-20 22:11:53.913711012 +0000 UTC m=+951.866663273,10000,3000,111,syncMap,229.464968ms,1.458424518s,6.36,1.27261649s,5.55,229.464968ms,1.00
2023-01-20 22:11:58.643626032 +0000 UTC m=+956.596578294,10000,3000,112,hashMap,1.442864335s,1.560033465s,1.08,1.442864335s,1.00,1.725797444s,1.20
2023-01-20 22:12:01.487228602 +0000 UTC m=+959.440180876,10000,3000,113,syncMap,231.210959ms,1.197665714s,5.18,1.413405513s,6.11,231.210959ms,1.00
2023-01-20 22:12:05.737673808 +0000 UTC m=+963.689716282,10000,3000,114,hashMap,1.061543203s,1.634150792s,1.54,1.061543203s,1.00,1.552763238s,1.46
2023-01-20 22:12:09.338327238 +0000 UTC m=+967.290369713,10000,3000,115,hashMap,211.531741ms,1.716131465s,8.11,211.531741ms,1.00,1.671690725s,7.90
2023-01-20 22:12:13.157909202 +0000 UTC m=+971.109951724,10000,3000,116,hashMap,954.350228ms,1.280209033s,1.34,954.350228ms,1.00,1.583648737s,1.66
2023-01-20 22:12:16.018651917 +0000 UTC m=+973.970694392,10000,3000,117,syncMap,200.096044ms,1.22088093s,6.10,1.438408788s,7.19,200.096044ms,1.00
2023-01-20 22:12:20.095535423 +0000 UTC m=+978.047577898,10000,3000,118,hashMap,827.757846ms,1.773192207s,2.14,827.757846ms,1.00,1.474990654s,1.78
2023-01-20 22:12:22.688702588 +0000 UTC m=+980.640745068,10000,3000,119,syncMap,295.328756ms,1.263600273s,4.28,1.032725041s,3.50,295.328756ms,1.00
2023-01-20 22:12:26.92635512 +0000 UTC m=+984.878397600,10000,3000,120,hashMap,1.377535578s,1.46489773s,1.06,1.377535578s,1.00,1.393816535s,1.01
2023-01-20 22:12:29.795195365 +0000 UTC m=+987.747237852,10000,3000,121,goMap,309.726978ms,309.726978ms,1.00,1.118187848s,3.61,1.43701574s,4.64
2023-01-20 22:12:32.270456812 +0000 UTC m=+990.222499287,10000,3000,122,goMap,246.878044ms,246.878044ms,1.00,708.778623ms,2.87,1.518558169s,6.15
2023-01-20 22:12:34.611082797 +0000 UTC m=+992.563189200,10000,3000,123,goMap,200.757241ms,200.757241ms,1.00,723.309171ms,3.60,1.414762911s,7.05
2023-01-20 22:12:38.276175611 +0000 UTC m=+996.228282018,10000,3000,124,goMap,1.023469456s,1.023469456s,1.00,1.50752063s,1.47,1.132673653s,1.11
2023-01-20 22:12:42.28481355 +0000 UTC m=+1000.236919957,10000,3000,125,goMap,524.404225ms,524.404225ms,1.00,1.425102634s,2.72,2.057530476s,3.92
