"Date, NumSims, NumFimsMsgs, Sim #, Winning Map, Winning Time, GoMap Time, Win-GoMap Diff, HashMap Time, Win-HashMap Diff, SyncMap Time, Win-SyncMap Diff"
2023-01-23 20:33:47.209511421 +0000 UTC m=+0.346434160,100,100,0,hashMap,31.448682ms,49.737793ms,1.58,31.448682ms,1.00,44.298426ms,1.41
2023-01-23 20:33:47.345020884 +0000 UTC m=+0.481943630,100,100,1,hashMap,32.409891ms,62.443959ms,1.93,32.409891ms,1.00,36.855446ms,1.14
2023-01-23 20:33:47.499108 +0000 UTC m=+0.636030750,100,100,2,hashMap,48.26312ms,48.329087ms,1.00,48.26312ms,1.00,54.042515ms,1.12
2023-01-23 20:33:47.690821611 +0000 UTC m=+0.827744365,100,100,3,hashMap,56.995872ms,64.359263ms,1.13,56.995872ms,1.00,65.087227ms,1.14
2023-01-23 20:33:47.884168027 +0000 UTC m=+1.021090782,100,100,4,hashMap,49.491998ms,67.095808ms,1.36,49.491998ms,1.00,72.729124ms,1.47
2023-01-23 20:33:48.07765458 +0000 UTC m=+1.214577340,100,100,5,goMap,38.006905ms,38.006905ms,1.00,64.226664ms,1.69,86.292878ms,2.27
2023-01-23 20:33:48.306830704 +0000 UTC m=+1.443753464,100,100,6,goMap,69.534623ms,69.534623ms,1.00,80.79643ms,1.16,74.001341ms,1.06
2023-01-23 20:33:48.526423272 +0000 UTC m=+1.663346033,100,100,7,syncMap,52.447155ms,73.29362ms,1.40,88.517612ms,1.69,52.447155ms,1.00
2023-01-23 20:33:48.739389732 +0000 UTC m=+1.876312493,100,100,8,hashMap,65.732515ms,72.774562ms,1.11,65.732515ms,1.00,69.096813ms,1.05
2023-01-23 20:33:48.973093255 +0000 UTC m=+2.110016030,100,100,9,hashMap,73.022838ms,80.193694ms,1.10,73.022838ms,1.00,74.634509ms,1.02
2023-01-23 20:33:49.196058439 +0000 UTC m=+2.332981215,100,100,10,hashMap,61.134268ms,71.345316ms,1.17,61.134268ms,1.00,84.014396ms,1.37
2023-01-23 20:33:49.438500127 +0000 UTC m=+2.575422887,100,100,11,hashMap,65.870317ms,87.949699ms,1.34,65.870317ms,1.00,82.232796ms,1.25
