"Date, NumSims, NumFimsMsgs, Sim #, Winning Map, Winning Time, GoMap Time, Win-GoMap Diff, HashMap Time, Win-HashMap Diff, SyncMap Time, Win-SyncMap Diff"
2023-01-20 20:22:03.397365634 +0000 UTC m=+196.758798671,200,3000,36,hashMap,1.406922252s,2.272734093s,1.62,1.406922252s,1.00,1.541511841s,1.10
2023-01-20 20:22:07.585235114 +0000 UTC m=+200.946668150,200,3000,37,hashMap,1.278781689s,1.364162943s,1.07,1.278781689s,1.00,1.537552778s,1.20
2023-01-20 20:22:11.6472125 +0000 UTC m=+205.008645537,200,3000,38,goMap,1.295599803s,1.295599803s,1.00,1.343275833s,1.04,1.416296215s,1.09
2023-01-20 20:22:16.578128644 +0000 UTC m=+209.939561681,200,3000,39,syncMap,1.607899271s,1.646266004s,1.02,1.667116647s,1.04,1.607899271s,1.00
2023-01-20 20:22:21.233105069 +0000 UTC m=+214.594538107,200,3000,40,goMap,1.48901419s,1.48901419s,1.00,1.525679861s,1.02,1.626163482s,1.09
2023-01-20 20:22:27.440279388 +0000 UTC m=+220.801712434,200,3000,41,goMap,1.532609798s,1.532609798s,1.00,2.118584372s,1.38,2.541681324s,1.66
2023-01-20 20:22:34.587545091 +0000 UTC m=+227.949336131,200,3000,42,syncMap,2.089341423s,2.831450039s,1.36,2.214994918s,1.06,2.089341423s,1.00
2023-01-20 20:22:40.14873859 +0000 UTC m=+233.510529624,200,3000,43,syncMap,1.570243531s,2.138583299s,1.36,1.843751793s,1.17,1.570243531s,1.00
2023-01-20 20:22:44.315185523 +0000 UTC m=+237.676976559,200,3000,44,goMap,1.380400807s,1.380400807s,1.00,1.384753186s,1.00,1.393682118s,1.01
2023-01-20 20:22:48.272899929 +0000 UTC m=+241.634690963,200,3000,45,hashMap,1.261951085s,1.319414991s,1.05,1.261951085s,1.00,1.367972842s,1.08
2023-01-20 20:22:52.679413629 +0000 UTC m=+246.041204674,200,3000,46,goMap,1.38196298s,1.38196298s,1.00,1.438770403s,1.04,1.576989282s,1.14
2023-01-20 20:22:57.738113699 +0000 UTC m=+251.099904732,200,3000,47,hashMap,1.503182004s,1.99609264s,1.33,1.503182004s,1.00,1.546809458s,1.03
2023-01-20 20:23:02.284337138 +0000 UTC m=+255.646128180,200,3000,48,hashMap,1.439502348s,1.521425004s,1.06,1.439502348s,1.00,1.572134687s,1.09
2023-01-20 20:23:06.72993388 +0000 UTC m=+260.091394110,200,3000,49,syncMap,1.445738046s,1.501956449s,1.04,1.487029691s,1.03,1.445738046s,1.00
2023-01-20 20:23:11.213819687 +0000 UTC m=+264.575279912,200,3000,50,syncMap,1.436302226s,1.474420591s,1.03,1.540053253s,1.07,1.436302226s,1.00
2023-01-20 20:23:16.685787824 +0000 UTC m=+270.047248061,200,3000,51,goMap,1.633606343s,1.633606343s,1.00,1.836935043s,1.12,1.993374217s,1.22
2023-01-20 20:23:21.040666723 +0000 UTC m=+274.402126949,200,3000,52,syncMap,1.426133703s,1.484946141s,1.04,1.436408908s,1.01,1.426133703s,1.00
2023-01-20 20:23:25.496802743 +0000 UTC m=+278.858262987,200,3000,53,hashMap,1.300814427s,1.40812577s,1.08,1.300814427s,1.00,1.737883633s,1.34
2023-01-20 20:23:30.266885143 +0000 UTC m=+283.628345370,200,3000,54,hashMap,1.313688275s,1.881345963s,1.43,1.313688275s,1.00,1.565854358s,1.19
2023-01-20 20:23:34.404703932 +0000 UTC m=+287.765887633,200,3000,55,hashMap,1.318962124s,1.408470805s,1.07,1.318962124s,1.00,1.402729324s,1.06
2023-01-20 20:23:38.672408273 +0000 UTC m=+292.033591976,200,3000,56,goMap,1.35455229s,1.35455229s,1.00,1.436670365s,1.06,1.469407218s,1.08
2023-01-20 20:23:42.703500337 +0000 UTC m=+296.064684040,200,3000,57,hashMap,1.30231404s,1.358006216s,1.04,1.30231404s,1.00,1.362144958s,1.05
2023-01-20 20:23:46.917711941 +0000 UTC m=+300.278895642,200,3000,58,hashMap,1.303499995s,1.436670728s,1.10,1.303499995s,1.00,1.465893905s,1.12
2023-01-20 20:23:51.230358052 +0000 UTC m=+304.591541753,200,3000,59,hashMap,1.353204149s,1.566543749s,1.16,1.353204149s,1.00,1.384570097s,1.02
2023-01-20 20:23:55.251684703 +0000 UTC m=+308.612868415,200,3000,60,hashMap,1.2338461s,1.334806457s,1.08,1.2338461s,1.00,1.425100926s,1.16
2023-01-20 20:24:00.045984763 +0000 UTC m=+313.407168465,200,3000,61,hashMap,1.357104933s,1.917059229s,1.41,1.357104933s,1.00,1.502816316s,1.11
2023-01-20 20:24:04.417493626 +0000 UTC m=+317.778410185,200,3000,62,hashMap,1.335174545s,1.549605187s,1.16,1.335174545s,1.00,1.477195098s,1.11
2023-01-20 20:24:08.577974149 +0000 UTC m=+321.938890707,200,3000,63,hashMap,1.298972578s,1.410300953s,1.09,1.298972578s,1.00,1.44430152s,1.11
2023-01-20 20:24:13.384979004 +0000 UTC m=+326.745895563,200,3000,64,hashMap,1.432786143s,1.533174113s,1.07,1.432786143s,1.00,1.834159898s,1.28
2023-01-20 20:24:18.272614084 +0000 UTC m=+331.633530653,200,3000,65,hashMap,1.588779645s,1.672131205s,1.05,1.588779645s,1.00,1.615895893s,1.02
2023-01-20 20:24:22.576575978 +0000 UTC m=+335.937492546,200,3000,66,hashMap,1.295481599s,1.507351273s,1.16,1.295481599s,1.00,1.492662575s,1.15
2023-01-20 20:24:27.561288562 +0000 UTC m=+340.922205133,200,3000,67,hashMap,1.324767726s,1.689446499s,1.28,1.324767726s,1.00,1.962319235s,1.48
2023-01-20 20:24:32.739342442 +0000 UTC m=+346.100259002,200,3000,68,hashMap,1.314254678s,2.304570041s,1.75,1.314254678s,1.00,1.549317523s,1.18
2023-01-20 20:24:36.78369634 +0000 UTC m=+350.145077966,200,3000,69,hashMap,1.269129233s,1.447651023s,1.14,1.269129233s,1.00,1.321037725s,1.04
