"Date, NumSims, NumFimsMsgs, Sim #, Winning Map, Winning Time, GoMap Time, Win-GoMap Diff, HashMap Time, Win-HashMap Diff, SyncMap Time, Win-SyncMap Diff"
2023-01-20 20:02:43.619921408 +0000 UTC m=+23.562713128,200,3000,0,hashMap,1.079412098s,1.12362669s,1.04,1.079412098s,1.00,1.16171525s,1.08
2023-01-20 20:02:46.939889522 +0000 UTC m=+26.882681247,200,3000,1,hashMap,1.06559111s,1.122660485s,1.05,1.06559111s,1.00,1.121150842s,1.05
2023-01-20 20:02:50.556356426 +0000 UTC m=+30.499148173,200,3000,2,goMap,1.037629134s,1.037629134s,1.00,1.081576883s,1.04,1.490728067s,1.44
2023-01-20 20:02:54.036326738 +0000 UTC m=+33.979118462,200,3000,3,hashMap,1.031326006s,1.263032362s,1.22,1.031326006s,1.00,1.178233023s,1.14
2023-01-20 20:02:56.99378979 +0000 UTC m=+36.936581534,200,3000,4,hashMap,919.677472ms,1.034269692s,1.12,919.677472ms,1.00,997.527338ms,1.08
2023-01-20 20:03:00.094127739 +0000 UTC m=+40.036919461,200,3000,5,hashMap,975.026911ms,1.070614577s,1.10,975.026911ms,1.00,1.048821814s,1.08
2023-01-20 20:03:02.952141803 +0000 UTC m=+42.894933524,200,3000,6,hashMap,943.540183ms,952.497498ms,1.01,943.540183ms,1.00,955.450917ms,1.01
2023-01-20 20:03:05.889514039 +0000 UTC m=+45.831652174,200,3000,7,hashMap,949.541702ms,965.915696ms,1.02,949.541702ms,1.00,1.015596553s,1.07
2023-01-20 20:03:09.04251739 +0000 UTC m=+48.984655526,200,3000,8,hashMap,1.020368163s,1.077356334s,1.06,1.020368163s,1.00,1.048352812s,1.03
2023-01-20 20:03:12.215099707 +0000 UTC m=+52.157237849,200,3000,9,hashMap,988.46008ms,1.006768452s,1.02,988.46008ms,1.00,1.170844468s,1.18
2023-01-20 20:03:15.986456133 +0000 UTC m=+55.928594269,200,3000,10,hashMap,1.222564129s,1.294549793s,1.06,1.222564129s,1.00,1.24430688s,1.02
2023-01-20 20:03:19.695220133 +0000 UTC m=+59.637358270,200,3000,11,syncMap,1.056949298s,1.585486318s,1.50,1.059775991s,1.00,1.056949298s,1.00
2023-01-20 20:03:22.823744965 +0000 UTC m=+62.765883101,200,3000,12,hashMap,953.129728ms,1.101077514s,1.16,953.129728ms,1.00,1.068088634s,1.12
2023-01-20 20:03:26.290177193 +0000 UTC m=+66.232315329,200,3000,13,hashMap,990.467309ms,1.017340839s,1.03,990.467309ms,1.00,1.452243066s,1.47
2023-01-20 20:03:30.537320737 +0000 UTC m=+70.479458872,200,3000,14,hashMap,1.271387661s,1.598265116s,1.26,1.271387661s,1.00,1.37006761s,1.08
2023-01-20 20:03:34.052040089 +0000 UTC m=+73.994285304,200,3000,15,hashMap,1.092739143s,1.142744193s,1.05,1.092739143s,1.00,1.271993894s,1.16
2023-01-20 20:03:38.857322101 +0000 UTC m=+78.799567317,200,3000,16,syncMap,1.309613308s,1.625748163s,1.24,1.861244129s,1.42,1.309613308s,1.00
2023-01-20 20:03:43.332767603 +0000 UTC m=+83.275012812,200,3000,17,goMap,1.252492539s,1.252492539s,1.00,1.511562201s,1.21,1.702403259s,1.36
2023-01-20 20:03:48.052345147 +0000 UTC m=+87.994590364,200,3000,18,goMap,1.355820442s,1.355820442s,1.00,1.619449428s,1.19,1.735586058s,1.28
2023-01-20 20:03:52.471022456 +0000 UTC m=+92.413267672,200,3000,19,hashMap,1.314856805s,1.582192701s,1.20,1.314856805s,1.00,1.510616581s,1.15
2023-01-20 20:03:56.800595754 +0000 UTC m=+96.742840963,200,3000,20,goMap,1.406933722s,1.406933722s,1.00,1.489498501s,1.06,1.421156157s,1.01
2023-01-20 20:04:00.747777956 +0000 UTC m=+100.690023166,200,3000,21,syncMap,1.154226605s,1.404451598s,1.22,1.381272116s,1.20,1.154226605s,1.00
2023-01-20 20:04:04.222791672 +0000 UTC m=+104.164936754,200,3000,22,hashMap,968.002125ms,1.298803907s,1.34,968.002125ms,1.00,1.201223658s,1.24
2023-01-20 20:04:07.824039246 +0000 UTC m=+107.766184331,200,3000,23,goMap,1.088560189s,1.088560189s,1.00,1.215762342s,1.12,1.288810986s,1.18
2023-01-20 20:04:11.089230403 +0000 UTC m=+111.031375486,200,3000,24,goMap,1.073594241s,1.073594241s,1.00,1.086966125s,1.01,1.093407708s,1.02
2023-01-20 20:04:15.424603198 +0000 UTC m=+115.366748288,200,3000,25,goMap,1.327761833s,1.327761833s,1.00,1.454092791s,1.10,1.546523916s,1.16
2023-01-20 20:04:18.877605765 +0000 UTC m=+118.819750848,200,3000,26,hashMap,1.094694955s,1.221314564s,1.12,1.094694955s,1.00,1.131021159s,1.03
2023-01-20 20:04:22.331514623 +0000 UTC m=+122.273659706,200,3000,27,goMap,1.099576238s,1.099576238s,1.00,1.134450125s,1.03,1.21360181s,1.10
2023-01-20 20:04:25.642499332 +0000 UTC m=+125.584644415,200,3000,28,hashMap,1.053391826s,1.11651858s,1.06,1.053391826s,1.00,1.133343511s,1.08
2023-01-20 20:04:29.086401153 +0000 UTC m=+129.028546235,200,3000,29,hashMap,1.056138794s,1.168231194s,1.11,1.056138794s,1.00,1.212612957s,1.15
2023-01-20 20:04:32.558996407 +0000 UTC m=+132.501141541,200,3000,30,goMap,1.107394105s,1.107394105s,1.00,1.126724633s,1.02,1.228935797s,1.11
2023-01-20 20:04:36.184398908 +0000 UTC m=+136.126934158,200,3000,31,hashMap,1.130451562s,1.164652096s,1.03,1.130451562s,1.00,1.322981103s,1.17
2023-01-20 20:04:39.854588972 +0000 UTC m=+139.797124218,200,3000,32,hashMap,1.08434529s,1.336194078s,1.23,1.08434529s,1.00,1.243636791s,1.15
2023-01-20 20:04:43.413745107 +0000 UTC m=+143.356280355,200,3000,33,goMap,1.143595045s,1.143595045s,1.00,1.265267393s,1.11,1.143864194s,1.00
2023-01-20 20:04:46.984304098 +0000 UTC m=+146.926839345,200,3000,34,hashMap,1.111629058s,1.206730812s,1.09,1.111629058s,1.00,1.245282395s,1.12
2023-01-20 20:04:50.810910414 +0000 UTC m=+150.753445667,200,3000,35,goMap,1.218403769s,1.218403769s,1.00,1.373679337s,1.13,1.227994374s,1.01
2023-01-20 20:04:54.141845119 +0000 UTC m=+154.084380366,200,3000,36,hashMap,1.059815799s,1.168646165s,1.10,1.059815799s,1.00,1.095873822s,1.03
2023-01-20 20:04:58.319449444 +0000 UTC m=+158.261984698,200,3000,37,goMap,1.333076644s,1.333076644s,1.00,1.36269031s,1.02,1.474488484s,1.11
2023-01-20 20:05:02.39806282 +0000 UTC m=+162.340598072,200,3000,38,goMap,1.336092033s,1.336092033s,1.00,1.379607926s,1.03,1.354541173s,1.01
2023-01-20 20:05:06.513938463 +0000 UTC m=+166.456169471,200,3000,39,hashMap,1.25095316s,1.482351149s,1.18,1.25095316s,1.00,1.374166635s,1.10
2023-01-20 20:05:10.563799843 +0000 UTC m=+170.506030853,200,3000,40,hashMap,1.221888402s,1.447776324s,1.18,1.221888402s,1.00,1.370036338s,1.12
2023-01-20 20:05:15.656983667 +0000 UTC m=+175.599214672,200,3000,41,goMap,1.414764316s,1.414764316s,1.00,1.844014176s,1.30,1.823616707s,1.29
2023-01-20 20:05:19.937620077 +0000 UTC m=+179.879851085,200,3000,42,hashMap,1.278266525s,1.571506156s,1.23,1.278266525s,1.00,1.422660589s,1.11
2023-01-20 20:05:23.962105314 +0000 UTC m=+183.904336321,200,3000,43,goMap,1.217573646s,1.217573646s,1.00,1.299517189s,1.07,1.49915082s,1.23
2023-01-20 20:05:28.538935202 +0000 UTC m=+188.481166210,200,3000,44,syncMap,1.40729565s,1.569538029s,1.12,1.592428494s,1.13,1.40729565s,1.00
2023-01-20 20:05:33.338228871 +0000 UTC m=+193.280497194,200,3000,45,goMap,1.523301932s,1.523301932s,1.00,1.695273695s,1.11,1.573212358s,1.03
2023-01-20 20:05:37.753156491 +0000 UTC m=+197.695424822,200,3000,46,hashMap,1.296748664s,1.629307299s,1.26,1.296748664s,1.00,1.480756063s,1.14
2023-01-20 20:05:41.70406283 +0000 UTC m=+201.646331153,200,3000,47,hashMap,1.256755415s,1.327701189s,1.06,1.256755415s,1.00,1.359050104s,1.08
2023-01-20 20:05:45.585997212 +0000 UTC m=+205.528265538,200,3000,48,goMap,1.266906796s,1.266906796s,1.00,1.280057794s,1.01,1.327742516s,1.05
2023-01-20 20:05:49.610671385 +0000 UTC m=+209.552939703,200,3000,49,goMap,1.317425281s,1.317425281s,1.00,1.335408698s,1.01,1.3640304s,1.04
2023-01-20 20:05:53.305835021 +0000 UTC m=+213.248103345,200,3000,50,hashMap,1.177008182s,1.293834667s,1.10,1.177008182s,1.00,1.21290462s,1.03
2023-01-20 20:05:57.233405024 +0000 UTC m=+217.175673345,200,3000,51,hashMap,1.240479649s,1.356978485s,1.09,1.240479649s,1.00,1.323403645s,1.07
2023-01-20 20:06:01.141425879 +0000 UTC m=+221.083694199,200,3000,52,hashMap,1.227892013s,1.355159096s,1.10,1.227892013s,1.00,1.318404615s,1.07
2023-01-20 20:06:05.132346778 +0000 UTC m=+225.074886187,200,3000,53,hashMap,1.274425565s,1.344480945s,1.05,1.274425565s,1.00,1.36485187s,1.07
2023-01-20 20:06:08.989623912 +0000 UTC m=+228.932163317,200,3000,54,hashMap,1.176280664s,1.354989902s,1.15,1.176280664s,1.00,1.319084917s,1.12
2023-01-20 20:06:13.354110671 +0000 UTC m=+233.296650079,200,3000,55,hashMap,1.182788348s,1.461506653s,1.24,1.182788348s,1.00,1.711742195s,1.45
2023-01-20 20:06:17.972720929 +0000 UTC m=+237.915260334,200,3000,56,syncMap,1.351826074s,1.744097429s,1.29,1.512041914s,1.12,1.351826074s,1.00
2023-01-20 20:06:21.879835489 +0000 UTC m=+241.822374895,200,3000,57,hashMap,1.194836961s,1.404608828s,1.18,1.194836961s,1.00,1.30096745s,1.09
2023-01-20 20:06:25.896763777 +0000 UTC m=+245.839303184,200,3000,58,hashMap,1.249485027s,1.352416579s,1.08,1.249485027s,1.00,1.406582273s,1.13
2023-01-20 20:06:29.938909259 +0000 UTC m=+249.881448666,200,3000,59,hashMap,1.320368242s,1.332348047s,1.01,1.320368242s,1.00,1.381387745s,1.05
2023-01-20 20:06:33.913027951 +0000 UTC m=+253.855271827,200,3000,60,hashMap,1.271599222s,1.372291141s,1.08,1.271599222s,1.00,1.318990385s,1.04
2023-01-20 20:06:38.460219399 +0000 UTC m=+258.402463278,200,3000,61,syncMap,1.388884842s,1.479623501s,1.07,1.671557917s,1.20,1.388884842s,1.00
2023-01-20 20:06:42.464743155 +0000 UTC m=+262.406987029,200,3000,62,hashMap,1.265376012s,1.373743079s,1.09,1.265376012s,1.00,1.357641413s,1.07
2023-01-20 20:06:46.234473038 +0000 UTC m=+266.176716915,200,3000,63,goMap,1.208781283s,1.208781283s,1.00,1.223005998s,1.01,1.331101512s,1.10
2023-01-20 20:06:50.332808481 +0000 UTC m=+270.275052355,200,3000,64,goMap,1.290091531s,1.290091531s,1.00,1.426199791s,1.11,1.374229419s,1.07
2023-01-20 20:06:54.912198392 +0000 UTC m=+274.854442283,200,3000,65,goMap,1.369474962s,1.369474962s,1.00,1.386868622s,1.01,1.815584853s,1.33
2023-01-20 20:07:00.604387936 +0000 UTC m=+280.546631819,200,3000,66,hashMap,1.664503622s,2.088524254s,1.25,1.664503622s,1.00,1.921082985s,1.15
2023-01-20 20:07:06.129795876 +0000 UTC m=+286.071990486,200,3000,67,hashMap,1.614285524s,2.095329581s,1.30,1.614285524s,1.00,1.803154832s,1.12
2023-01-20 20:07:10.572515728 +0000 UTC m=+290.514710340,200,3000,68,hashMap,1.357506747s,1.704504624s,1.26,1.357506747s,1.00,1.360052622s,1.00
2023-01-20 20:07:16.409007402 +0000 UTC m=+296.351202020,200,3000,69,goMap,1.49176372s,1.49176372s,1.00,2.321264886s,1.56,2.009986163s,1.35
2023-01-20 20:07:20.794052306 +0000 UTC m=+300.736246914,200,3000,70,syncMap,1.396697418s,1.557066252s,1.11,1.418824786s,1.02,1.396697418s,1.00
2023-01-20 20:07:26.344335067 +0000 UTC m=+306.286529677,200,3000,71,goMap,1.577481739s,1.577481739s,1.00,1.847783149s,1.17,2.113705759s,1.34
2023-01-20 20:07:31.217022021 +0000 UTC m=+311.159216632,200,3000,72,hashMap,1.379898552s,1.979181086s,1.43,1.379898552s,1.00,1.505353729s,1.09
2023-01-20 20:07:36.29751763 +0000 UTC m=+316.241303004,200,3000,73,syncMap,1.567509359s,1.883491724s,1.20,1.6225491s,1.04,1.567509359s,1.00
2023-01-20 20:07:40.634093217 +0000 UTC m=+320.577878578,200,3000,74,hashMap,1.265775939s,1.616824638s,1.28,1.265775939s,1.00,1.444905477s,1.14
2023-01-20 20:07:44.891420037 +0000 UTC m=+324.835205393,200,3000,75,hashMap,1.277710084s,1.498432254s,1.17,1.277710084s,1.00,1.473773923s,1.15
2023-01-20 20:07:48.716093848 +0000 UTC m=+328.659879203,200,3000,76,hashMap,1.180093219s,1.300342534s,1.10,1.180093219s,1.00,1.335970205s,1.13
2023-01-20 20:07:53.099103146 +0000 UTC m=+333.042888500,200,3000,77,hashMap,1.345499081s,1.470480947s,1.09,1.345499081s,1.00,1.558617415s,1.16
2023-01-20 20:07:57.030385515 +0000 UTC m=+336.974170870,200,3000,78,hashMap,1.236071137s,1.321700711s,1.07,1.236071137s,1.00,1.366546219s,1.11
2023-01-20 20:08:01.067647729 +0000 UTC m=+341.011433084,200,3000,79,hashMap,1.270358754s,1.352236019s,1.06,1.270358754s,1.00,1.407572044s,1.11
2023-01-20 20:08:05.060339132 +0000 UTC m=+345.002651283,200,3000,80,goMap,1.25126855s,1.25126855s,1.00,1.340705776s,1.07,1.388661793s,1.11
2023-01-20 20:08:09.241021259 +0000 UTC m=+349.183333410,200,3000,81,goMap,1.321649157s,1.321649157s,1.00,1.360554808s,1.03,1.491288145s,1.13
2023-01-20 20:08:13.427251414 +0000 UTC m=+353.369563580,200,3000,82,goMap,1.253755521s,1.253755521s,1.00,1.325788826s,1.06,1.599885609s,1.28
2023-01-20 20:08:17.801701095 +0000 UTC m=+357.744013248,200,3000,83,hashMap,1.333255215s,1.607975141s,1.21,1.333255215s,1.00,1.424559313s,1.07
2023-01-20 20:08:21.855292177 +0000 UTC m=+361.797604327,200,3000,84,hashMap,1.227401514s,1.414651795s,1.15,1.227401514s,1.00,1.404179055s,1.14
2023-01-20 20:08:26.003683168 +0000 UTC m=+365.945995320,200,3000,85,hashMap,1.320987766s,1.417878081s,1.07,1.320987766s,1.00,1.401428101s,1.06
2023-01-20 20:08:30.033367698 +0000 UTC m=+369.975679848,200,3000,86,hashMap,1.225487307s,1.390047629s,1.13,1.225487307s,1.00,1.406330149s,1.15
2023-01-20 20:08:33.908833103 +0000 UTC m=+373.851180757,200,3000,87,hashMap,1.22792119s,1.358056544s,1.11,1.22792119s,1.00,1.28123s,1.04
2023-01-20 20:08:37.995489011 +0000 UTC m=+377.937836664,200,3000,88,hashMap,1.263248931s,1.389949242s,1.10,1.263248931s,1.00,1.425164036s,1.13
2023-01-20 20:08:41.981754681 +0000 UTC m=+381.924102333,200,3000,89,hashMap,1.275405518s,1.360769681s,1.07,1.275405518s,1.00,1.341316204s,1.05
2023-01-20 20:08:46.133647197 +0000 UTC m=+386.075994848,200,3000,90,goMap,1.350907005s,1.350907005s,1.00,1.399346082s,1.04,1.380659839s,1.02
2023-01-20 20:08:50.155340418 +0000 UTC m=+390.097688071,200,3000,91,hashMap,1.235424508s,1.334988323s,1.08,1.235424508s,1.00,1.444397661s,1.17
2023-01-20 20:08:54.322454164 +0000 UTC m=+394.264801816,200,3000,92,hashMap,1.2683088s,1.437532971s,1.13,1.2683088s,1.00,1.454131731s,1.15
2023-01-20 20:08:58.337751964 +0000 UTC m=+398.280099614,200,3000,93,hashMap,1.280693377s,1.332963522s,1.04,1.280693377s,1.00,1.394184123s,1.09
2023-01-20 20:09:02.260883142 +0000 UTC m=+402.203230794,200,3000,94,syncMap,1.249511609s,1.378979548s,1.10,1.287258996s,1.03,1.249511609s,1.00
2023-01-20 20:09:06.254086765 +0000 UTC m=+406.197125546,200,3000,95,hashMap,1.248263849s,1.339150788s,1.07,1.248263849s,1.00,1.399277231s,1.12
2023-01-20 20:09:10.267042474 +0000 UTC m=+410.210081255,200,3000,96,goMap,1.278503907s,1.278503907s,1.00,1.311991617s,1.03,1.415221456s,1.11
2023-01-20 20:09:15.033557837 +0000 UTC m=+414.976596608,200,3000,97,goMap,1.372654881s,1.372654881s,1.00,1.684208899s,1.23,1.701728539s,1.24
2023-01-20 20:09:19.538736095 +0000 UTC m=+419.481774871,200,3000,98,goMap,1.491846797s,1.491846797s,1.00,1.49708061s,1.00,1.507548094s,1.01
2023-01-20 20:09:23.525284113 +0000 UTC m=+423.468322889,200,3000,99,syncMap,1.306459771s,1.328738444s,1.02,1.344068829s,1.03,1.306459771s,1.00
2023-01-20 20:09:27.542343325 +0000 UTC m=+427.485382098,200,3000,100,hashMap,1.266205513s,1.30367222s,1.03,1.266205513s,1.00,1.436326629s,1.13
2023-01-20 20:09:31.507011796 +0000 UTC m=+431.450050594,200,3000,101,goMap,1.247954964s,1.247954964s,1.00,1.275563033s,1.02,1.432924905s,1.15
2023-01-20 20:09:35.30107635 +0000 UTC m=+435.243325152,200,3000,102,goMap,1.235455524s,1.235455524s,1.00,1.288121096s,1.04,1.261046398s,1.02
2023-01-20 20:09:39.390734747 +0000 UTC m=+439.332983552,200,3000,103,goMap,1.272683444s,1.272683444s,1.00,1.281261851s,1.01,1.524317284s,1.20
2023-01-20 20:09:43.54266253 +0000 UTC m=+443.484911333,200,3000,104,hashMap,1.277138601s,1.461949112s,1.14,1.277138601s,1.00,1.405469131s,1.10
2023-01-20 20:09:48.224324986 +0000 UTC m=+448.166573794,200,3000,105,goMap,1.43085846s,1.43085846s,1.00,1.802791264s,1.26,1.440648832s,1.01
2023-01-20 20:09:52.138253555 +0000 UTC m=+452.080502367,200,3000,106,hashMap,1.286762034s,1.306449234s,1.02,1.286762034s,1.00,1.312394306s,1.02
2023-01-20 20:09:56.218407411 +0000 UTC m=+456.160656216,200,3000,107,hashMap,1.247476651s,1.397787739s,1.12,1.247476651s,1.00,1.426545063s,1.14
2023-01-20 20:10:00.279552431 +0000 UTC m=+460.221801244,200,3000,108,hashMap,1.277411321s,1.373434149s,1.08,1.277411321s,1.00,1.402476124s,1.10
2023-01-20 20:10:08.414211009 +0000 UTC m=+468.356565343,200,3000,109,goMap,2.085964214s,2.085964214s,1.00,3.344842078s,1.60,2.691046267s,1.29
2023-01-20 20:10:15.858746594 +0000 UTC m=+475.801100935,200,3000,110,goMap,2.246654685s,2.246654685s,1.00,2.285659995s,1.02,2.89152434s,1.29
2023-01-20 20:10:22.875999321 +0000 UTC m=+482.818353654,200,3000,111,syncMap,1.760184982s,3.319870924s,1.89,1.927448819s,1.10,1.760184982s,1.00
2023-01-20 20:10:27.243504955 +0000 UTC m=+487.185859287,200,3000,112,hashMap,1.348994438s,1.432821123s,1.06,1.348994438s,1.00,1.57850706s,1.17
2023-01-20 20:10:31.534695778 +0000 UTC m=+491.477050115,200,3000,113,syncMap,1.408862921s,1.465859695s,1.04,1.409117923s,1.00,1.408862921s,1.00
2023-01-20 20:10:35.879447019 +0000 UTC m=+495.821736409,200,3000,114,goMap,1.420154265s,1.420154265s,1.00,1.440186956s,1.01,1.477044573s,1.04
2023-01-20 20:10:39.847715683 +0000 UTC m=+499.790005081,200,3000,115,hashMap,1.239772175s,1.376031362s,1.11,1.239772175s,1.00,1.343834656s,1.08
2023-01-20 20:10:43.778038581 +0000 UTC m=+503.720327971,200,3000,116,goMap,1.238197087s,1.238197087s,1.00,1.28548632s,1.04,1.398103854s,1.13
2023-01-20 20:10:47.989731059 +0000 UTC m=+507.932020446,200,3000,117,hashMap,1.363215198s,1.420135028s,1.04,1.363215198s,1.00,1.419736327s,1.04
2023-01-20 20:10:52.84583494 +0000 UTC m=+512.788124341,200,3000,118,hashMap,1.477665152s,1.705333287s,1.15,1.477665152s,1.00,1.664625084s,1.13
2023-01-20 20:10:56.831681772 +0000 UTC m=+516.773971170,200,3000,119,hashMap,1.205195987s,1.362016316s,1.13,1.205195987s,1.00,1.41171169s,1.17
2023-01-20 20:11:00.897295902 +0000 UTC m=+520.839585295,200,3000,120,hashMap,1.276293545s,1.318578188s,1.03,1.276293545s,1.00,1.45874301s,1.14
2023-01-20 20:11:05.033760637 +0000 UTC m=+524.975780955,200,3000,121,hashMap,1.23047606s,1.362790097s,1.11,1.23047606s,1.00,1.536124577s,1.25
2023-01-20 20:11:09.278838889 +0000 UTC m=+529.220859205,200,3000,122,hashMap,1.397802372s,1.434677113s,1.03,1.397802372s,1.00,1.405398659s,1.01
2023-01-20 20:11:13.789170506 +0000 UTC m=+533.731190836,200,3000,123,goMap,1.293187773s,1.293187773s,1.00,1.430687595s,1.11,1.775291505s,1.37
2023-01-20 20:11:18.060933367 +0000 UTC m=+538.002953685,200,3000,124,hashMap,1.23364453s,1.656076509s,1.34,1.23364453s,1.00,1.374568863s,1.11
2023-01-20 20:11:22.13992264 +0000 UTC m=+542.081942955,200,3000,125,hashMap,1.289359146s,1.371547859s,1.06,1.289359146s,1.00,1.411417987s,1.09
2023-01-20 20:11:26.110395796 +0000 UTC m=+546.052416112,200,3000,126,hashMap,1.25487965s,1.34601509s,1.07,1.25487965s,1.00,1.361889989s,1.09
2023-01-20 20:11:30.028096904 +0000 UTC m=+549.970117237,200,3000,127,hashMap,1.234985535s,1.302851199s,1.05,1.234985535s,1.00,1.371848184s,1.11
2023-01-20 20:11:34.096565205 +0000 UTC m=+554.038947166,200,3000,128,hashMap,1.267437369s,1.386397681s,1.09,1.267437369s,1.00,1.406124228s,1.11
2023-01-20 20:11:38.016172557 +0000 UTC m=+557.958554519,200,3000,129,hashMap,1.238694305s,1.260061439s,1.02,1.238694305s,1.00,1.413276683s,1.14
2023-01-20 20:11:42.234816968 +0000 UTC m=+562.177198932,200,3000,130,syncMap,1.355278298s,1.463439781s,1.08,1.38816142s,1.02,1.355278298s,1.00
2023-01-20 20:11:46.269687321 +0000 UTC m=+566.212069285,200,3000,131,hashMap,1.2720666s,1.427907113s,1.12,1.2720666s,1.00,1.327615127s,1.04
2023-01-20 20:11:50.232989261 +0000 UTC m=+570.175371230,200,3000,132,hashMap,1.213124296s,1.263063396s,1.04,1.213124296s,1.00,1.478949967s,1.22
2023-01-20 20:11:54.138861254 +0000 UTC m=+574.081243216,200,3000,133,hashMap,1.256138349s,1.281187406s,1.02,1.256138349s,1.00,1.358398679s,1.08
2023-01-20 20:11:58.223472271 +0000 UTC m=+578.165854231,200,3000,134,hashMap,1.294335155s,1.420960153s,1.10,1.294335155s,1.00,1.362111971s,1.05
2023-01-20 20:12:02.312221903 +0000 UTC m=+582.254603873,200,3000,135,goMap,1.271329539s,1.271329539s,1.00,1.404199025s,1.10,1.405294857s,1.11
2023-01-20 20:12:06.295859594 +0000 UTC m=+586.239235548,200,3000,136,hashMap,1.272407675s,1.360629284s,1.07,1.272407675s,1.00,1.34457183s,1.06
2023-01-20 20:12:10.349028925 +0000 UTC m=+590.292404882,200,3000,137,goMap,1.317738499s,1.317738499s,1.00,1.370315838s,1.04,1.357546309s,1.03
2023-01-20 20:12:15.127762546 +0000 UTC m=+595.071138504,200,3000,138,goMap,1.346913191s,1.346913191s,1.00,1.690161469s,1.25,1.732549586s,1.29
