"Date, NumSims, NumFimsMsgs, Sim #, Winning Map, Winning Time, GoMap Time, Win-GoMap Diff, HashMap Time, Win-HashMap Diff, SyncMap Time, Win-SyncMap Diff"
2023-01-23 03:05:38.147732119 +0000 UTC m=+1067.090901545,20000,3000,0,syncMap,192.241986ms,871.297645ms,4.53,1.516983403s,7.89,192.241986ms,1.00
2023-01-23 03:05:40.442666365 +0000 UTC m=+1069.385835791,20000,3000,1,goMap,127.770799ms,127.770799ms,1.00,1.980703375s,15.50,185.634259ms,1.45
2023-01-23 03:05:42.844503137 +0000 UTC m=+1071.787672565,20000,3000,2,syncMap,166.343754ms,941.816245ms,5.66,1.292984684s,7.77,166.343754ms,1.00
2023-01-23 03:05:47.097561715 +0000 UTC m=+1076.040731145,20000,3000,3,hashMap,195.561633ms,2.073647263s,10.60,195.561633ms,1.00,1.983025811s,10.14
2023-01-23 03:05:49.520497776 +0000 UTC m=+1078.463667205,20000,3000,4,syncMap,162.565612ms,164.16763ms,1.01,2.095452832s,12.89,162.565612ms,1.00
2023-01-23 03:05:51.258254938 +0000 UTC m=+1080.201424368,20000,3000,5,goMap,143.506263ms,143.506263ms,1.00,1.404694444s,9.79,188.625005ms,1.31
2023-01-23 03:05:53.391883584 +0000 UTC m=+1082.335053010,20000,3000,6,syncMap,134.513271ms,147.070236ms,1.09,1.85134671s,13.76,134.513271ms,1.00
2023-01-23 03:05:55.738777469 +0000 UTC m=+1084.681946894,20000,3000,7,syncMap,181.212612ms,1.927503341s,10.64,237.451539ms,1.31,181.212612ms,1.00
2023-01-23 03:05:59.705170484 +0000 UTC m=+1088.648313274,20000,3000,8,hashMap,222.775744ms,1.763764101s,7.92,222.775744ms,1.00,1.979023864s,8.88
2023-01-23 03:06:02.087698476 +0000 UTC m=+1091.030841260,20000,3000,9,goMap,148.403031ms,148.403031ms,1.00,189.451115ms,1.28,2.043899247s,13.77
2023-01-23 03:06:03.54493577 +0000 UTC m=+1092.488078564,20000,3000,10,goMap,143.984446ms,143.984446ms,1.00,1.126743088s,7.83,185.622624ms,1.29
2023-01-23 03:06:05.926569333 +0000 UTC m=+1094.869712119,20000,3000,11,goMap,167.889807ms,167.889807ms,1.00,2.032418915s,12.11,180.519443ms,1.08
2023-01-23 03:06:08.324583457 +0000 UTC m=+1097.267726243,20000,3000,12,syncMap,150.584327ms,702.822449ms,4.67,1.543829776s,10.25,150.584327ms,1.00
2023-01-23 03:06:12.473465155 +0000 UTC m=+1101.416607941,20000,3000,13,hashMap,225.95707ms,1.852278314s,8.20,225.95707ms,1.00,2.06986025s,9.16
2023-01-23 03:06:14.537625083 +0000 UTC m=+1103.480767869,20000,3000,14,syncMap,150.444532ms,198.572154ms,1.32,1.714298124s,11.39,150.444532ms,1.00
2023-01-23 03:06:16.986983598 +0000 UTC m=+1105.930126384,20000,3000,15,syncMap,169.159104ms,256.866437ms,1.52,2.022538013s,11.96,169.159104ms,1.00
2023-01-23 03:06:21.148506851 +0000 UTC m=+1110.091649637,20000,3000,16,hashMap,225.797909ms,1.84938444s,8.19,225.797909ms,1.00,2.085495475s,9.24
2023-01-23 03:06:22.882142959 +0000 UTC m=+1111.825285757,20000,3000,17,goMap,149.612384ms,149.612384ms,1.00,1.401194053s,9.37,182.050542ms,1.22
2023-01-23 03:06:25.152344195 +0000 UTC m=+1114.095486981,20000,3000,18,syncMap,151.508608ms,159.953639ms,1.06,1.957899762s,12.92,151.508608ms,1.00
2023-01-23 03:06:27.469581699 +0000 UTC m=+1116.412724489,20000,3000,19,syncMap,154.601292ms,459.300904ms,2.97,1.702525154s,11.01,154.601292ms,1.00
2023-01-23 03:06:29.396375146 +0000 UTC m=+1118.339526633,20000,3000,20,syncMap,163.644884ms,978.221792ms,5.98,784.089318ms,4.79,163.644884ms,1.00
2023-01-23 03:06:33.757211165 +0000 UTC m=+1122.700362658,20000,3000,21,hashMap,220.978221ms,2.072526346s,9.38,220.978221ms,1.00,2.066526608s,9.35
2023-01-23 03:06:35.795638648 +0000 UTC m=+1124.738790139,20000,3000,22,goMap,149.484854ms,149.484854ms,1.00,1.721403532s,11.52,166.772328ms,1.12
2023-01-23 03:06:38.094931651 +0000 UTC m=+1127.038083137,20000,3000,23,syncMap,167.755706ms,193.620781ms,1.15,1.937136412s,11.55,167.755706ms,1.00
2023-01-23 03:06:40.531827711 +0000 UTC m=+1129.474979198,20000,3000,24,syncMap,195.88551ms,1.984841852s,10.13,255.323503ms,1.30,195.88551ms,1.00
2023-01-23 03:06:45.005940331 +0000 UTC m=+1133.949091816,20000,3000,25,hashMap,201.986169ms,2.021433226s,10.01,201.986169ms,1.00,2.249896046s,11.14
2023-01-23 03:06:47.468975366 +0000 UTC m=+1136.412126851,20000,3000,26,goMap,165.813332ms,165.813332ms,1.00,190.506913ms,1.15,2.105911229s,12.70
