Time,Max Pbms Est D
11:07:49 AM,3114
11:07:50 AM,3128
11:07:51 AM,3124
11:07:52 AM,3150
11:07:53 AM,3150
11:07:54 AM,3122
11:07:55 AM,3120
11:07:56 AM,3136
11:07:57 AM,3134
11:07:58 AM,3156
11:07:59 AM,3161
11:08:00 AM,3166
11:08:01 AM,3166
11:08:02 AM,3154
11:08:03 AM,3159
11:08:04 AM,3136
11:08:05 AM,3136
11:08:06 AM,3145
11:08:07 AM,3149
11:08:08 AM,3146
11:08:09 AM,3145
11:08:10 AM,3135
11:08:11 AM,3131
11:08:12 AM,3136
11:08:13 AM,3135
11:08:14 AM,3126
11:08:15 AM,3127
11:08:16 AM,3143
11:08:17 AM,3142
11:08:18 AM,3157
11:08:19 AM,3159
11:08:20 AM,3140
11:08:21 AM,3142
11:08:22 AM,3163
11:08:23 AM,3162
11:08:24 AM,3153
11:08:25 AM,3157
11:08:26 AM,3169
11:08:27 AM,3165
11:08:28 AM,3163
11:08:29 AM,3165
11:08:30 AM,3152
11:08:31 AM,3152
11:08:32 AM,3147
11:08:33 AM,3150
11:08:34 AM,3151
11:08:35 AM,3152
11:08:36 AM,3143
11:08:37 AM,3138
11:08:38 AM,3148
11:08:39 AM,3150
11:08:40 AM,3132
11:08:41 AM,3131
11:08:42 AM,3162
11:08:43 AM,3162
11:08:44 AM,3167
11:08:45 AM,3166
11:08:46 AM,3159
11:08:47 AM,3160
11:08:48 AM,3169
11:08:49 AM,3172
11:08:50 AM,3156
11:08:51 AM,3157
11:08:52 AM,3174
11:08:53 AM,3180
11:08:54 AM,3178
11:08:55 AM,3183
11:08:56 AM,3158
11:08:57 AM,3159
11:08:58 AM,3158
11:08:59 AM,3161
11:09:00 AM,3168
11:09:01 AM,3171
11:09:02 AM,3162
11:09:03 AM,3158
11:09:04 AM,3154
11:09:05 AM,3152
11:09:06 AM,3136
11:09:07 AM,3137
11:09:08 AM,3153
11:09:09 AM,3153
11:09:10 AM,3169
11:09:11 AM,3163
11:09:12 AM,3151
11:09:13 AM,3151
11:09:14 AM,3160
11:09:15 AM,3159
11:09:16 AM,3151
11:09:17 AM,3152
11:09:18 AM,3183
11:09:19 AM,3184
11:09:20 AM,3170
11:09:21 AM,3172
11:09:22 AM,3156
11:09:23 AM,3152
11:09:24 AM,3163
11:09:25 AM,3163
11:09:26 AM,3165
11:09:27 AM,3165
11:09:28 AM,3160
11:09:29 AM,3158
11:09:30 AM,3160
11:09:31 AM,3160
11:09:32 AM,3143
11:09:33 AM,3147
11:09:34 AM,3159
11:09:35 AM,3163
11:09:36 AM,3163
11:09:37 AM,3163
11:09:38 AM,3155
11:09:39 AM,3156
11:09:40 AM,3157
11:09:41 AM,3155
11:09:42 AM,3146
11:09:43 AM,3146
11:09:44 AM,3182
11:09:45 AM,3178
11:09:46 AM,3174
11:09:47 AM,3174
11:09:48 AM,3157
11:09:49 AM,3164
11:09:50 AM,3169
11:09:51 AM,3166
11:09:52 AM,3149
11:09:53 AM,3146
11:09:54 AM,3157
11:09:55 AM,3158
11:09:56 AM,3162
11:09:57 AM,3160
11:09:58 AM,3138
11:09:59 AM,3138
11:10:00 AM,3134
11:10:01 AM,3135
11:10:02 AM,3162
11:10:03 AM,3164
11:10:04 AM,3147
11:10:05 AM,3146
11:10:06 AM,3156
11:10:07 AM,3155
11:10:08 AM,3153
11:10:09 AM,3154
11:10:10 AM,3167
11:10:11 AM,3169
11:10:12 AM,3168
11:10:13 AM,3169
11:10:14 AM,3148
11:10:15 AM,3153
11:10:16 AM,3152
11:10:17 AM,3148
11:10:18 AM,3147
11:10:19 AM,3144
11:10:20 AM,3159
11:10:21 AM,3159
